Message
"V: 0.0000, I: 0.000000, P: 0.00000000\n"
"V: -0.9534, I: -0.000429, P: 0.00040899\n"
"V: -0.8410, I: -0.000378, P: 0.00031825\n"
"V: -0.7252, I: -0.000326, P: 0.00023669\n"
"V: -0.6067, I: -0.000273, P: 0.00016562\n"
"V: -0.4857, I: -0.000219, P: 0.00010615\n"
"V: -0.3628, I: -0.000163, P: 0.00005922\n"
"V: -0.2384, I: -0.000107, P: 0.00002558\n"
"V: -0.1132, I: -0.000051, P: 0.00000576\n"
"V: 0.0126, I: 0.000006, P: 0.00000007\n"
"V: 0.1383, I: 0.000062, P: 0.00000860\n"
"V: 0.2634, I: 0.000119, P: 0.00003122\n"
"V: 0.3875, I: 0.000174, P: 0.00006756\n"
"V: 0.5100, I: 0.000230, P: 0.00011706\n"
"V: 0.6306, I: 0.000284, P: 0.00017894\n"
"V: 0.7486, I: 0.000337, P: 0.00025220\n"
"V: 0.8637, I: 0.000389, P: 0.00033570\n"
"V: 0.9754, I: 0.000439, P: 0.00042812\n"
"V: 1.0832, I: 0.000487, P: 0.00052800\n"
"V: 1.1867, I: 0.000534, P: 0.00063375\n"
"V: 1.2856, I: 0.000579, P: 0.00074372\n"
"V: 1.3793, I: 0.000621, P: 0.00085615\n"
"V: 1.4676, I: 0.000660, P: 0.00096927\n"
"V: 1.5501, I: 0.000698, P: 0.00108130\n"
"V: 1.6265, I: 0.000732, P: 0.00119047\n"
"V: 1.6964, I: 0.000763, P: 0.00129504\n"
"V: 1.7597, I: 0.000792, P: 0.00139338\n"
"V: 1.8159, I: 0.000817, P: 0.00148391\n"
"V: 1.8650, I: 0.000839, P: 0.00156522\n"
"V: 1.9067, I: 0.000858, P: 0.00163602\n"
"V: 1.9409, I: 0.000873, P: 0.00169518\n"
"V: 1.9674, I: 0.000885, P: 0.00174178\n"
"V: 1.9861, I: 0.000894, P: 0.00177508\n"
"V: 1.9970, I: 0.000899, P: 0.00179455\n"
"V: 1.9999, I: 0.000900, P: 0.00179989\n"
"V: 1.9950, I: 0.000898, P: 0.00179100\n"
"V: 1.9822, I: 0.000892, P: 0.00176804\n"
"V: 1.9615, I: 0.000883, P: 0.00173136\n"
"V: 1.9331, I: 0.000870, P: 0.00168154\n"
"V: 1.8970, I: 0.000854, P: 0.00161937\n"
"V: 1.8534, I: 0.000834, P: 0.00154583\n"
"V: 1.8025, I: 0.000811, P: 0.00146209\n"
"V: 1.7445, I: 0.000785, P: 0.00136946\n"
"V: 1.6796, I: 0.000756, P: 0.00126942\n"
"V: 1.6080, I: 0.000724, P: 0.00116354\n"
"V: 1.5301, I: 0.000689, P: 0.00105350\n"
"V: 1.4461, I: 0.000651, P: 0.00094102\n"
"V: 1.3564, I: 0.000610, P: 0.00082791\n"
"V: 1.2613, I: 0.000568, P: 0.00071593\n"
"V: 1.1613, I: 0.000523, P: 0.00060685\n"
"V: 1.0566, I: 0.000475, P: 0.00050242\n"
"V: 0.9478, I: 0.000427, P: 0.00040426\n"
"V: 0.8352, I: 0.000376, P: 0.00031394\n"
"V: 0.7194, I: 0.000324, P: 0.00023288\n"
"V: 0.6007, I: 0.000270, P: 0.00016236\n"
"V: 0.4796, I: 0.000216, P: 0.00010349\n"
"V: 0.3566, I: 0.000160, P: 0.00005722\n"
"V: 0.2322, I: 0.000104, P: 0.00002426\n"
"V: 0.1069, I: 0.000048, P: 0.00000514\n"
"V: -0.0189, I: -0.000008, P: 0.00000016\n"
"V: -0.1445, I: -0.000065, P: 0.00000940\n"
"V: -0.2696, I: -0.000121, P: 0.00003271\n"
"V: -0.3936, I: -0.000177, P: 0.00006973\n"
"V: -0.5161, I: -0.000232, P: 0.00011987\n"
"V: -0.6365, I: -0.000286, P: 0.00018234\n"
"V: -0.7545, I: -0.000340, P: 0.00025614\n"
"V: -0.8694, I: -0.000391, P: 0.00034012\n"
"V: -0.9809, I: -0.000441, P: 0.00043295\n"
"V: -1.0885, I: -0.000490, P: 0.00053316\n"
"V: -1.1918, I: -0.000536, P: 0.00063917\n"
"V: -1.2904, I: -0.000581, P: 0.00074929\n"
"V: -1.3839, I: -0.000623, P: 0.00086180\n"
"V: -1.4719, I: -0.000662, P: 0.00097492\n"
"V: -1.5541, I: -0.000699, P: 0.00108684\n"
"V: -1.6301, I: -0.000734, P: 0.00119582\n"
"V: -1.6998, I: -0.000765, P: 0.00130012\n"
"V: -1.7626, I: -0.000793, P: 0.00139810\n"
"V: -1.8186, I: -0.000818, P: 0.00148821\n"
"V: -1.8673, I: -0.000840, P: 0.00156902\n"
"V: -1.9086, I: -0.000859, P: 0.00163926\n"
"V: -1.9424, I: -0.000874, P: 0.00169782\n"
"V: -1.9685, I: -0.000886, P: 0.00174377\n"
"V: -1.9868, I: -0.000894, P: 0.00177639\n"
"V: -1.9973, I: -0.000899, P: 0.00179516\n"
"V: -1.9999, I: -0.000900, P: 0.00179978\n"
"V: -1.9945, I: -0.000898, P: 0.00179019\n"
"V: -1.9813, I: -0.000892, P: 0.00176653\n"
"V: -1.9603, I: -0.000882, P: 0.00172917\n"
"V: -1.9314, I: -0.000869, P: 0.00167871\n"
"V: -1.8950, I: -0.000853, P: 0.00161595\n"
"V: -1.8511, I: -0.000833, P: 0.00154188\n"
"V: -1.7998, I: -0.000810, P: 0.00145766\n"
"V: -1.7414, I: -0.000784, P: 0.00136463\n"
"V: -1.6761, I: -0.000754, P: 0.00126425\n"
"V: -1.6042, I: -0.000722, P: 0.00115812\n"
"V: -1.5260, I: -0.000687, P: 0.00104791\n"
"V: -1.4417, I: -0.000649, P: 0.00093537\n"
"V: -1.3518, I: -0.000608, P: 0.00082226\n"
"V: -1.2564, I: -0.000565, P: 0.00071039\n"
"V: -1.1562, I: -0.000520, P: 0.00060151\n"
"V: -1.0513, I: -0.000473, P: 0.00049735\n"
"V: -0.9423, I: -0.000424, P: 0.00039955\n"
"V: -0.8295, I: -0.000373, P: 0.00030965\n"
"V: -0.7135, I: -0.000321, P: 0.00022909\n"
"V: -0.5947, I: -0.000268, P: 0.00015913\n"
"V: -0.4735, I: -0.000213, P: 0.00010087\n"
"V: -0.3504, I: -0.000158, P: 0.00005525\n"
"V: -0.2259, I: -0.000102, P: 0.00002297\n"
"V: -0.1006, I: -0.000045, P: 0.00000455\n"
"V: 0.0252, I: 0.000011, P: 0.00000028\n"
"V: 0.1508, I: 0.000068, P: 0.00001023\n"
"V: 0.2759, I: 0.000124, P: 0.00003424\n"
"V: 0.3998, I: 0.000180, P: 0.00007193\n"
"V: 0.5222, I: 0.000235, P: 0.00012271\n"
"V: 0.6425, I: 0.000289, P: 0.00018577\n"
"V: 0.7603, I: 0.000342, P: 0.00026011\n"
"V: 0.8750, I: 0.000394, P: 0.00034457\n"
"V: 0.9864, I: 0.000444, P: 0.00043780\n"
"V: 1.0938, I: 0.000492, P: 0.00053834\n"
"V: 1.1968, I: 0.000539, P: 0.00064459\n"
"V: 1.2952, I: 0.000583, P: 0.00075488\n"
"V: 1.3884, I: 0.000625, P: 0.00086746\n"
"V: 1.4761, I: 0.000664, P: 0.00098055\n"
"V: 1.5580, I: 0.000701, P: 0.00109238\n"
"V: 1.6338, I: 0.000735, P: 0.00120116\n"
"V: 1.7031, I: 0.000766, P: 0.00130518\n"
"V: 1.7656, I: 0.000795, P: 0.00140280\n"
"V: 1.8212, I: 0.000820, P: 0.00149248\n"
"V: 1.8695, I: 0.000841, P: 0.00157279\n"
"V: 1.9105, I: 0.000860, P: 0.00164247\n"
"V: 1.9439, I: 0.000875, P: 0.00170042\n"
"V: 1.9696, I: 0.000886, P: 0.00174572\n"
"V: 1.9875, I: 0.000894, P: 0.00177766\n"
"V: 1.9976, I: 0.000899, P: 0.00179573\n"
"V: 1.9998, I: 0.000900, P: 0.00179964\n"
"V: 1.9941, I: 0.000897, P: 0.00178934\n"
"V: 1.9804, I: 0.000891, P: 0.00176498\n"
"V: 1.9590, I: 0.000882, P: 0.00172695\n"
"V: 1.9298, I: 0.000868, P: 0.00167586\n"
"V: 1.8930, I: 0.000852, P: 0.00161251\n"
"V: 1.8487, I: 0.000832, P: 0.00153790\n"
"V: 1.7970, I: 0.000809, P: 0.00145320\n"
"V: 1.7383, I: 0.000782, P: 0.00135977\n"
"V: 1.6727, I: 0.000753, P: 0.00125907\n"
"V: 1.6005, I: 0.000720, P: 0.00115270\n"
"V: 1.5219, I: 0.000685, P: 0.00104233\n"
"V: 1.4374, I: 0.000647, P: 0.00092971\n"
"V: 1.3471, I: 0.000606, P: 0.00081663\n"
"V: 1.2515, I: 0.000563, P: 0.00070486\n"
"V: 1.1510, I: 0.000518, P: 0.00059617\n"
"V: 1.0459, I: 0.000471, P: 0.00049229\n"
"V: 0.9367, I: 0.000422, P: 0.00039485\n"
"V: 0.8238, I: 0.000371, P: 0.00030539\n"
"V: 0.7076, I: 0.000318, P: 0.00022533\n"
"V: 0.5887, I: 0.000265, P: 0.00015593\n"
"V: 0.4673, I: 0.000210, P: 0.00009829\n"
"V: 0.3442, I: 0.000155, P: 0.00005331\n"
"V: 0.2197, I: 0.000099, P: 0.00002172\n"
"V: 0.0943, I: 0.000042, P: 0.00000400\n"
"V: -0.0314, I: -0.000014, P: 0.00000044\n"
"V: -0.1571, I: -0.000071, P: 0.00001110\n"
"V: -0.2821, I: -0.000127, P: 0.00003581\n"
"V: -0.4060, I: -0.000183, P: 0.00007417\n"
"V: -0.5283, I: -0.000238, P: 0.00012558\n"
"V: -0.6485, I: -0.000292, P: 0.00018922\n"
"V: -0.7661, I: -0.000345, P: 0.00026410\n"
"V: -0.8807, I: -0.000396, P: 0.00034903\n"
"V: -0.9918, I: -0.000446, P: 0.00044267\n"
"V: -1.0990, I: -0.000495, P: 0.00054353\n"
"V: -1.2019, I: -0.000541, P: 0.00065002\n"
"V: -1.3000, I: -0.000585, P: 0.00076047\n"
"V: -1.3929, I: -0.000627, P: 0.00087312\n"
"V: -1.4804, I: -0.000666, P: 0.00098619\n"
"V: -1.5620, I: -0.000703, P: 0.00109790\n"
"V: -1.6374, I: -0.000737, P: 0.00120649\n"
"V: -1.7063, I: -0.000768, P: 0.00131023\n"
"V: -1.7685, I: -0.000796, P: 0.00140749\n"
"V: -1.8238, I: -0.000821, P: 0.00149673\n"
"V: -1.8717, I: -0.000842, P: 0.00157654\n"
"V: -1.9123, I: -0.000861, P: 0.00164566\n"
"V: -1.9454, I: -0.000875, P: 0.00170300\n"
"V: -1.9707, I: -0.000887, P: 0.00174764\n"
"V: -1.9882, I: -0.000895, P: 0.00177890\n"
"V: -1.9979, I: -0.000899, P: 0.00179626\n"
"V: -1.9997, I: -0.000900, P: 0.00179946\n"
"V: -1.9936, I: -0.000897, P: 0.00178845\n"
"V: -1.9796, I: -0.000891, P: 0.00176340\n"
"V: -1.9577, I: -0.000881, P: 0.00172470\n"
"V: -1.9281, I: -0.000868, P: 0.00167298\n"
"V: -1.8909, I: -0.000851, P: 0.00160904\n"
"V: -1.8463, I: -0.000831, P: 0.00153389\n"
"V: -1.7943, I: -0.000807, P: 0.00144873\n"
"V: -1.7352, I: -0.000781, P: 0.00135489\n"
"V: -1.6692, I: -0.000751, P: 0.00125387\n"
"V: -1.5967, I: -0.000719, P: 0.00114726\n"
"V: -1.5178, I: -0.000683, P: 0.00103674\n"
"V: -1.4330, I: -0.000645, P: 0.00092405\n"
"V: -1.3425, I: -0.000604, P: 0.00081099\n"
"V: -1.2466, I: -0.000561, P: 0.00069934\n"
"V: -1.1459, I: -0.000516, P: 0.00059085\n"
"V: -1.0406, I: -0.000468, P: 0.00048725\n"
"V: -0.9312, I: -0.000419, P: 0.00039018\n"
"V: -0.8181, I: -0.000368, P: 0.00030116\n"
"V: -0.7017, I: -0.000316, P: 0.00022160\n"
"V: -0.5826, I: -0.000262, P: 0.00015276\n"
"V: -0.4612, I: -0.000208, P: 0.00009573\n"
"V: -0.3380, I: -0.000152, P: 0.00005141\n"
"V: -0.2134, I: -0.000096, P: 0.00002050\n"
"V: -0.0880, I: -0.000040, P: 0.00000349\n"
"V: 0.0377, I: 0.000017, P: 0.00000064\n"
"V: 0.1633, I: 0.000074, P: 0.00001201\n"
"V: 0.2883, I: 0.000130, P: 0.00003740\n"
"V: 0.4121, I: 0.000185, P: 0.00007643\n"
"V: 0.5343, I: 0.000240, P: 0.00012848\n"
"V: 0.6544, I: 0.000294, P: 0.00019271\n"
"V: 0.7719, I: 0.000347, P: 0.00026812\n"
"V: 0.8863, I: 0.000399, P: 0.00035352\n"
"V: 0.9973, I: 0.000449, P: 0.00044755\n"
"V: 1.1043, I: 0.000497, P: 0.00054873\n"
"V: 1.2069, I: 0.000543, P: 0.00065547\n"
"V: 1.3047, I: 0.000587, P: 0.00076606\n"
"V: 1.3974, I: 0.000629, P: 0.00087877\n"
"V: 1.4846, I: 0.000668, P: 0.00099182\n"
"V: 1.5659, I: 0.000705, P: 0.00110342\n"
"V: 1.6410, I: 0.000738, P: 0.00121180\n"
"V: 1.7096, I: 0.000769, P: 0.00131526\n"
"V: 1.7715, I: 0.000797, P: 0.00141215\n"
"V: 1.8263, I: 0.000822, P: 0.00150095\n"
"V: 1.8739, I: 0.000843, P: 0.00158026\n"
"V: 1.9142, I: 0.000861, P: 0.00164881\n"
"V: 1.9468, I: 0.000876, P: 0.00170554\n"
"V: 1.9718, I: 0.000887, P: 0.00174953\n"
"V: 1.9889, I: 0.000895, P: 0.00178010\n"
"V: 1.9982, I: 0.000899, P: 0.00179676\n"
"V: 1.9996, I: 0.000900, P: 0.00179925\n"
"V: 1.9931, I: 0.000897, P: 0.00178753\n"
"V: 1.9787, I: 0.000890, P: 0.00176178\n"
"V: 1.9564, I: 0.000880, P: 0.00172242\n"
"V: 1.9265, I: 0.000867, P: 0.00167006\n"
"V: 1.8889, I: 0.000850, P: 0.00160554\n"
"V: 1.8438, I: 0.000830, P: 0.00152986\n"
"V: 1.7915, I: 0.000806, P: 0.00144423\n"
"V: 1.7321, I: 0.000779, P: 0.00135000\n"
"V: 1.6658, I: 0.000750, P: 0.00124866\n"
"V: 1.5929, I: 0.000717, P: 0.00114181\n"
"V: 1.5137, I: 0.000681, P: 0.00103114\n"
"V: 1.4286, I: 0.000643, P: 0.00091840\n"
"V: 1.3378, I: 0.000602, P: 0.00080536\n"
"V: 1.2417, I: 0.000559, P: 0.00069382\n"
"V: 1.1407, I: 0.000513, P: 0.00058554\n"
"V: 1.0352, I: 0.000466, P: 0.00048223\n"
"V: 0.9256, I: 0.000417, P: 0.00038552\n"
"V: 0.8123, I: 0.000366, P: 0.00029694\n"
"V: 0.6958, I: 0.000313, P: 0.00021789\n"
"V: 0.5766, I: 0.000259, P: 0.00014962\n"
"V: 0.4551, I: 0.000205, P: 0.00009321\n"
"V: 0.3318, I: 0.000149, P: 0.00004954\n"
"V: 0.2072, I: 0.000093, P: 0.00001932\n"
"V: 0.0817, I: 0.000037, P: 0.00000301\n"
"V: -0.0440, I: -0.000020, P: 0.00000087\n"
"V: -0.1696, I: -0.000076, P: 0.00001295\n"
"V: -0.2945, I: -0.000133, P: 0.00003904\n"
"V: -0.4183, I: -0.000188, P: 0.00007873\n"
"V: -0.5404, I: -0.000243, P: 0.00013141\n"
"V: -0.6603, I: -0.000297, P: 0.00019623\n"
"V: -0.7777, I: -0.000350, P: 0.00027217\n"
"V: -0.8920, I: -0.000401, P: 0.00035803\n"
"V: -1.0027, I: -0.000451, P: 0.00045245\n"
"V: -1.1095, I: -0.000499, P: 0.00055395\n"
"V: -1.2119, I: -0.000545, P: 0.00066092\n"
"V: -1.3095, I: -0.000589, P: 0.00077166\n"
"V: -1.4019, I: -0.000631, P: 0.00088443\n"
"V: -1.4888, I: -0.000670, P: 0.00099745\n"
"V: -1.5698, I: -0.000706, P: 0.00110893\n"
"V: -1.6446, I: -0.000740, P: 0.00121711\n"
"V: -1.7129, I: -0.000771, P: 0.00132027\n"
"V: -1.7744, I: -0.000798, P: 0.00141680\n"
"V: -1.8289, I: -0.000823, P: 0.00150516\n"
"V: -1.8761, I: -0.000844, P: 0.00158395\n"
"V: -1.9160, I: -0.000862, P: 0.00165194\n"
"V: -1.9482, I: -0.000877, P: 0.00170804\n"
"V: -1.9728, I: -0.000888, P: 0.00175138\n"
"V: -1.9896, I: -0.000895, P: 0.00178126\n"
"V: -1.9985, I: -0.000899, P: 0.00179722\n"
"V: -1.9994, I: -0.000900, P: 0.00179900\n"
"V: -1.9925, I: -0.000897, P: 0.00178657\n"
"V: -1.9777, I: -0.000890, P: 0.00176013\n"
"V: -1.9551, I: -0.000880, P: 0.00172011\n"
"V: -1.9248, I: -0.000866, P: 0.00166712\n"
"V: -1.8868, I: -0.000849, P: 0.00160201\n"
"V: -1.8414, I: -0.000829, P: 0.00152580\n"
"V: -1.7887, I: -0.000805, P: 0.00143971\n"
"V: -1.7289, I: -0.000778, P: 0.00134509\n"
"V: -1.6623, I: -0.000748, P: 0.00124343\n"
"V: -1.5891, I: -0.000715, P: 0.00113635\n"
"V: -1.5096, I: -0.000679, P: 0.00102554\n"
"V: -1.4242, I: -0.000641, P: 0.00091274\n"
"V: -1.3331, I: -0.000600, P: 0.00079973\n"
"V: -1.2368, I: -0.000557, P: 0.00068832\n"
"V: -1.1355, I: -0.000511, P: 0.00058024\n"
"V: -1.0298, I: -0.000463, P: 0.00047723\n"
"V: -0.9200, I: -0.000414, P: 0.00038089\n"
"V: -0.8066, I: -0.000363, P: 0.00029275\n"
"V: -0.6899, I: -0.000310, P: 0.00021421\n"
"V: -0.5706, I: -0.000257, P: 0.00014651\n"
"V: -0.4490, I: -0.000202, P: 0.00009071\n"
"V: -0.3256, I: -0.000147, P: 0.00004771\n"
"V: -0.2009, I: -0.000090, P: 0.00001817\n"
"V: -0.0755, I: -0.000034, P: 0.00000256\n"
"V: 0.0503, I: 0.000023, P: 0.00000114\n"
"V: 0.1759, I: 0.000079, P: 0.00001392\n"
"V: 0.3007, I: 0.000135, P: 0.00004070\n"
"V: 0.4244, I: 0.000191, P: 0.00008106\n"
"V: 0.5464, I: 0.000246, P: 0.00013437\n"
"V: 0.6663, I: 0.000300, P: 0.00019977\n"
"V: 0.7835, I: 0.000353, P: 0.00027623\n"
"V: 0.8976, I: 0.000404, P: 0.00036256\n"
"V: 1.0082, I: 0.000454, P: 0.00045737\n"
"V: 1.1147, I: 0.000502, P: 0.00055918\n"
"V: 1.2169, I: 0.000548, P: 0.00066638\n"
"V: 1.3143, I: 0.000591, P: 0.00077727\n"
"V: 1.4064, I: 0.000633, P: 0.00089009\n"
"V: 1.4930, I: 0.000672, P: 0.00100308\n"
"V: 1.5737, I: 0.000708, P: 0.00111443\n"
"V: 1.6482, I: 0.000742, P: 0.00122240\n"
"V: 1.7161, I: 0.000772, P: 0.00132527\n"
"V: 1.7773, I: 0.000800, P: 0.00142142\n"
"V: 1.8314, I: 0.000824, P: 0.00150933\n"
"V: 1.8783, I: 0.000845, P: 0.00158762\n"
"V: 1.9178, I: 0.000863, P: 0.00165503\n"
"V: 1.9497, I: 0.000877, P: 0.00171052\n"
"V: 1.9738, I: 0.000888, P: 0.00175320\n"
"V: 1.9902, I: 0.000896, P: 0.00178239\n"
"V: 1.9987, I: 0.000899, P: 0.00179765\n"
"V: 1.9993, I: 0.000900, P: 0.00179871\n"
"V: 1.9920, I: 0.000896, P: 0.00178558\n"
"V: 1.9768, I: 0.000890, P: 0.00175845\n"
"V: 1.9538, I: 0.000879, P: 0.00171776\n"
"V: 1.9230, I: 0.000865, P: 0.00166414\n"
"V: 1.8847, I: 0.000848, P: 0.00159845\n"
"V: 1.8389, I: 0.000828, P: 0.00152172\n"
"V: 1.7859, I: 0.000804, P: 0.00143517\n"
"V: 1.7257, I: 0.000777, P: 0.00134016\n"
"V: 1.6588, I: 0.000746, P: 0.00123820\n"
"V: 1.5853, I: 0.000713, P: 0.00113089\n"
"V: 1.5055, I: 0.000677, P: 0.00101993\n"
"V: 1.4198, I: 0.000639, P: 0.00090708\n"
"V: 1.3284, I: 0.000598, P: 0.00079411\n"
"V: 1.2318, I: 0.000554, P: 0.00068282\n"
"V: 1.1303, I: 0.000509, P: 0.00057496\n"
"V: 1.0244, I: 0.000461, P: 0.00047224\n"
"V: 0.9144, I: 0.000411, P: 0.00037627\n"
"V: 0.8008, I: 0.000360, P: 0.00028859\n"
"V: 0.6840, I: 0.000308, P: 0.00021056\n"
"V: 0.5646, I: 0.000254, P: 0.00014343\n"
"V: 0.4429, I: 0.000199, P: 0.00008825\n"
"V: 0.3194, I: 0.000144, P: 0.00004590\n"
"V: 0.1947, I: 0.000088, P: 0.00001705\n"
"V: 0.0692, I: 0.000031, P: 0.00000215\n"
"V: -0.0566, I: -0.000025, P: 0.00000144\n"
"V: -0.1821, I: -0.000082, P: 0.00001493\n"
"V: -0.3070, I: -0.000138, P: 0.00004240\n"
"V: -0.4306, I: -0.000194, P: 0.00008343\n"
"V: -0.5525, I: -0.000249, P: 0.00013736\n"
"V: -0.6722, I: -0.000302, P: 0.00020334\n"
"V: -0.7893, I: -0.000355, P: 0.00028033\n"
"V: -0.9032, I: -0.000406, P: 0.00036711\n"
"V: -1.0136, I: -0.000456, P: 0.00046231\n"
"V: -1.1199, I: -0.000504, P: 0.00056443\n"
"V: -1.2219, I: -0.000550, P: 0.00067185\n"
"V: -1.3190, I: -0.000594, P: 0.00078288\n"
"V: -1.4109, I: -0.000635, P: 0.00089575\n"
"V: -1.4972, I: -0.000674, P: 0.00100870\n"
"V: -1.5776, I: -0.000710, P: 0.00111993\n"
"V: -1.6517, I: -0.000743, P: 0.00122768\n"
"V: -1.7193, I: -0.000774, P: 0.00133025\n"
"V: -1.7802, I: -0.000801, P: 0.00142603\n"
"V: -1.8339, I: -0.000825, P: 0.00151349\n"
"V: -1.8805, I: -0.000846, P: 0.00159126\n"
"V: -1.9195, I: -0.000864, P: 0.00165810\n"
"V: -1.9510, I: -0.000878, P: 0.00171297\n"
"V: -1.9748, I: -0.000889, P: 0.00175498\n"
"V: -1.9908, I: -0.000896, P: 0.00178349\n"
"V: -1.9989, I: -0.000900, P: 0.00179804\n"
"V: -1.9991, I: -0.000900, P: 0.00179839\n"
"V: -1.9914, I: -0.000896, P: 0.00178455\n"
"V: -1.9758, I: -0.000889, P: 0.00175673\n"
"V: -1.9524, I: -0.000879, P: 0.00171538\n"
"V: -1.9213, I: -0.000865, P: 0.00166114\n"
"V: -1.8826, I: -0.000847, P: 0.00159487\n"
