Raw ADC: 1075816678, Delta ADC: 0
Raw ADC: 1076175586, Delta ADC: 13386
Raw ADC: 1076197428, Delta ADC: 21842
Raw ADC: 1076200105, Delta ADC: 2677
Raw ADC: 1076212788, Delta ADC: 12683
Raw ADC: 1076232939, Delta ADC: 20151
Raw ADC: 1076247312, Delta ADC: 14373
Raw ADC: 1076258585, Delta ADC: 11273
Raw ADC: 1076268731, Delta ADC: 10146
Raw ADC: 1076293109, Delta ADC: 24378
Raw ADC: 1076300296, Delta ADC: 7187
Raw ADC: 1076314387, Delta ADC: 14091
Raw ADC: 1076328619, Delta ADC: 14232
Raw ADC: 1076355816, Delta ADC: 27197
Raw ADC: 1076355252, Delta ADC: 4294966731
Raw ADC: 1076370189, Delta ADC: 14937
Raw ADC: 1076370048, Delta ADC: 4294967154
Raw ADC: 1076378926, Delta ADC: 8878
Raw ADC: 1076392031, Delta ADC: 13105
Raw ADC: 1076405699, Delta ADC: 13668
Raw ADC: 1076418664, Delta ADC: 12965
Raw ADC: 1076421482, Delta ADC: 2818
Raw ADC: 1076430359, Delta ADC: 8877
Raw ADC: 1076430923, Delta ADC: 564
Raw ADC: 1076455442, Delta ADC: 24519
Raw ADC: 1076455160, Delta ADC: 4294967013
Raw ADC: 1076472070, Delta ADC: 16910
Raw ADC: 1076473761, Delta ADC: 1691
Raw ADC: 1076492221, Delta ADC: 18460
Raw ADC: 1076505044, Delta ADC: 12823
Raw ADC: 1076517726, Delta ADC: 12682
Raw ADC: 1076528295, Delta ADC: 10569
Raw ADC: 1076544359, Delta ADC: 16064
Raw ADC: 1076555773, Delta ADC: 11414
Raw ADC: 1076561692, Delta ADC: 5919
Raw ADC: 1076578460, Delta ADC: 16768
Raw ADC: 1076596638, Delta ADC: 18178
Raw ADC: 1076607489, Delta ADC: 10851
Raw ADC: 1076614816, Delta ADC: 7327
Raw ADC: 1076620312, Delta ADC: 5496
Raw ADC: 1076626794, Delta ADC: 6482
Raw ADC: 1076639335, Delta ADC: 12541
Raw ADC: 1076641308, Delta ADC: 1973
Raw ADC: 1076646804, Delta ADC: 5496
Raw ADC: 1076658782, Delta ADC: 11978
Raw ADC: 1076679919, Delta ADC: 21137
Raw ADC: 1076679778, Delta ADC: 4294967154
Raw ADC: 1076691896, Delta ADC: 12118
Raw ADC: 1076705565, Delta ADC: 13669
Raw ADC: 1076705847, Delta ADC: 282
Raw ADC: 1076709793, Delta ADC: 3946
Raw ADC: 1076719234, Delta ADC: 9441
Raw ADC: 1076725857, Delta ADC: 6623
Raw ADC: 1076731775, Delta ADC: 5918
Raw ADC: 1076745585, Delta ADC: 13810
Raw ADC: 1076756012, Delta ADC: 10427
Raw ADC: 1076759394, Delta ADC: 3382
Raw ADC: 1076775036, Delta ADC: 15642
Raw ADC: 1076782504, Delta ADC: 7468
Raw ADC: 1076786591, Delta ADC: 4087
Raw ADC: 1076796032, Delta ADC: 9441
Raw ADC: 1076794200, Delta ADC: 4294965463
Raw ADC: 1076806601, Delta ADC: 12401
Raw ADC: 1076815478, Delta ADC: 8877
Raw ADC: 1076809419, Delta ADC: 4294961236
Raw ADC: 1076818156, Delta ADC: 8737
Raw ADC: 1076825342, Delta ADC: 7186
Raw ADC: 1076832247, Delta ADC: 6905
Raw ADC: 1076841547, Delta ADC: 9300
Raw ADC: 1076848452, Delta ADC: 6905
Raw ADC: 1076844507, Delta ADC: 4294963350
Raw ADC: 1076854793, Delta ADC: 10286
Raw ADC: 1076864798, Delta ADC: 10005
Raw ADC: 1076870153, Delta ADC: 5355
Raw ADC: 1076878467, Delta ADC: 8314
Raw ADC: 1076894672, Delta ADC: 16205
Raw ADC: 1076900168, Delta ADC: 5496
Raw ADC: 1076905382, Delta ADC: 5214
Raw ADC: 1076924828, Delta ADC: 19446
Raw ADC: 1076925391, Delta ADC: 563
Raw ADC: 1076936524, Delta ADC: 11133
Raw ADC: 1076950192, Delta ADC: 13668
Raw ADC: 1076945824, Delta ADC: 4294962927
Raw ADC: 1076960056, Delta ADC: 14232
Raw ADC: 1076968370, Delta ADC: 8314
Raw ADC: 1076976684, Delta ADC: 8314
Raw ADC: 1076986971, Delta ADC: 10287
Raw ADC: 1077000921, Delta ADC: 13950
Raw ADC: 1077008672, Delta ADC: 7751
Raw ADC: 1077012476, Delta ADC: 3804
Raw ADC: 1077020509, Delta ADC: 8033
Raw ADC: 1077018395, Delta ADC: 4294965181
Raw ADC: 1077030373, Delta ADC: 11978
Raw ADC: 1077027554, Delta ADC: 4294964476
Raw ADC: 1077033332, Delta ADC: 5778
Raw ADC: 1077044464, Delta ADC: 11132
Raw ADC: 1077049960, Delta ADC: 5496
Raw ADC: 1077055596, Delta ADC: 5636
Raw ADC: 1077057146, Delta ADC: 1550
Raw ADC: 1077076733, Delta ADC: 19587
Raw ADC: 1077086456, Delta ADC: 9723
Raw ADC: 1077097025, Delta ADC: 10569
Raw ADC: 1077099843, Delta ADC: 2818
Raw ADC: 1077119994, Delta ADC: 20151
Raw ADC: 1077119853, Delta ADC: 4294967154
Raw ADC: 1077123094, Delta ADC: 3241
Raw ADC: 1077141413, Delta ADC: 18319
Raw ADC: 1077149163, Delta ADC: 7750
Raw ADC: 1077164946, Delta ADC: 15783
Raw ADC: 1077169314, Delta ADC: 4368
Raw ADC: 1077184956, Delta ADC: 15642
Raw ADC: 1077198765, Delta ADC: 13809
Raw ADC: 1077202288, Delta ADC: 3523
Raw ADC: 1077206515, Delta ADC: 4227
Raw ADC: 1077208911, Delta ADC: 2396
Raw ADC: 1077216802, Delta ADC: 7891
Raw ADC: 1077224693, Delta ADC: 7891
Raw ADC: 1077223566, Delta ADC: 4294966168
Raw ADC: 1077224975, Delta ADC: 1409
Raw ADC: 1077230330, Delta ADC: 5355
Raw ADC: 1077232585, Delta ADC: 2255
Raw ADC: 1077230753, Delta ADC: 4294965463
Raw ADC: 1077236530, Delta ADC: 5777
Raw ADC: 1077246676, Delta ADC: 10146
Raw ADC: 1077254285, Delta ADC: 7609
Raw ADC: 1077259076, Delta ADC: 4791
Raw ADC: 1077264572, Delta ADC: 5496
Raw ADC: 1077274013, Delta ADC: 9441
Raw ADC: 1077273309, Delta ADC: 4294966591
Raw ADC: 1077276973, Delta ADC: 3664
Raw ADC: 1077287964, Delta ADC: 10991
Raw ADC: 1077295010, Delta ADC: 7046
Raw ADC: 1077299237, Delta ADC: 4227
Raw ADC: 1077297546, Delta ADC: 4294965604
Raw ADC: 1077315583, Delta ADC: 18037
Raw ADC: 1077313188, Delta ADC: 4294964900
Raw ADC: 1077314597, Delta ADC: 1409
Raw ADC: 1077319529, Delta ADC: 4932
Raw ADC: 1077328970, Delta ADC: 9441
Raw ADC: 1077330661, Delta ADC: 1691
Raw ADC: 1077334184, Delta ADC: 3523
Raw ADC: 1077338834, Delta ADC: 4650
Raw ADC: 1077352503, Delta ADC: 13669
Raw ADC: 1077342498, Delta ADC: 4294957290
Raw ADC: 1077361521, Delta ADC: 19023
Raw ADC: 1077370117, Delta ADC: 8596
Raw ADC: 1077374767, Delta ADC: 4650
Raw ADC: 1077383927, Delta ADC: 9160
Raw ADC: 1077393227, Delta ADC: 9300
Raw ADC: 1077413659, Delta ADC: 20432
Raw ADC: 1077427328, Delta ADC: 13669
Raw ADC: 1077440292, Delta ADC: 12964
Raw ADC: 1077450156, Delta ADC: 9864
Raw ADC: 1077462698, Delta ADC: 12542
Raw ADC: 1077481298, Delta ADC: 18600
Raw ADC: 1077490317, Delta ADC: 9019
Raw ADC: 1077491444, Delta ADC: 1127
Raw ADC: 1077509199, Delta ADC: 17755
Raw ADC: 1077514695, Delta ADC: 5496
Raw ADC: 1077534705, Delta ADC: 20010
Raw ADC: 1077524700, Delta ADC: 4294957290
Raw ADC: 1077540341, Delta ADC: 15641
Raw ADC: 1077555560, Delta ADC: 15219
Raw ADC: 1077560492, Delta ADC: 4932
Raw ADC: 1077571483, Delta ADC: 10991
Raw ADC: 1077572188, Delta ADC: 705
Raw ADC: 1077585716, Delta ADC: 13528
Raw ADC: 1077591493, Delta ADC: 5777
Raw ADC: 1077603330, Delta ADC: 11837
Raw ADC: 1077606712, Delta ADC: 3382
Raw ADC: 1077619676, Delta ADC: 12964
Raw ADC: 1077615026, Delta ADC: 4294962645
Raw ADC: 1077627145, Delta ADC: 12119
Raw ADC: 1077628836, Delta ADC: 1691
Raw ADC: 1077641659, Delta ADC: 12823
Raw ADC: 1077643913, Delta ADC: 2254
Raw ADC: 1077653355, Delta ADC: 9442
Raw ADC: 1077648704, Delta ADC: 4294962644
Raw ADC: 1077658005, Delta ADC: 9301
Raw ADC: 1077664628, Delta ADC: 6623
Raw ADC: 1077678156, Delta ADC: 13528
Raw ADC: 1077685906, Delta ADC: 7750
Raw ADC: 1077685765, Delta ADC: 4294967154
Raw ADC: 1077694079, Delta ADC: 8314
Raw ADC: 1077695911, Delta ADC: 1832
Raw ADC: 1077707888, Delta ADC: 11977
Raw ADC: 1077711834, Delta ADC: 3946
Raw ADC: 1077721275, Delta ADC: 9441
Raw ADC: 1077720148, Delta ADC: 4294966168
Raw ADC: 1077719162, Delta ADC: 4294966309
Raw ADC: 1077724798, Delta ADC: 5636
Raw ADC: 1077727757, Delta ADC: 2959
Raw ADC: 1077734239, Delta ADC: 6482
Raw ADC: 1077734239, Delta ADC: 0
Raw ADC: 1077732408, Delta ADC: 4294965464
Raw ADC: 1077748331, Delta ADC: 15923
Raw ADC: 1077757208, Delta ADC: 8877
Raw ADC: 1077763691, Delta ADC: 6483
Raw ADC: 1077769468, Delta ADC: 5777
Raw ADC: 1077776936, Delta ADC: 7468
Raw ADC: 1077792437, Delta ADC: 15501
Raw ADC: 1077798778, Delta ADC: 6341
Raw ADC: 1077804274, Delta ADC: 5496
Raw ADC: 1077815688, Delta ADC: 11414
Raw ADC: 1077824706, Delta ADC: 9018
Raw ADC: 1077830766, Delta ADC: 6060
Raw ADC: 1077836543, Delta ADC: 5777
Raw ADC: 1077838234, Delta ADC: 1691
Raw ADC: 1077849226, Delta ADC: 10992
Raw ADC: 1077862612, Delta ADC: 13386
Raw ADC: 1077871772, Delta ADC: 9160
Raw ADC: 1077882059, Delta ADC: 10287
Raw ADC: 1077891641, Delta ADC: 9582
Raw ADC: 1077892627, Delta ADC: 986
Raw ADC: 1077901646, Delta ADC: 9019
Raw ADC: 1077902491, Delta ADC: 845
Raw ADC: 1077914892, Delta ADC: 12401
Raw ADC: 1077919824, Delta ADC: 4932
Raw ADC: 1077937579, Delta ADC: 17755
Raw ADC: 1077941524, Delta ADC: 3945
Raw ADC: 1077948429, Delta ADC: 6905
Raw ADC: 1077956461, Delta ADC: 8032
Raw ADC: 1077964775, Delta ADC: 8314
Raw ADC: 1077970130, Delta ADC: 5355
Raw ADC: 1077978726, Delta ADC: 8596
Raw ADC: 1077982530, Delta ADC: 3804
Raw ADC: 1077986194, Delta ADC: 3664
Raw ADC: 1077993522, Delta ADC: 7328
Raw ADC: 1078000849, Delta ADC: 7327
Raw ADC: 1078009445, Delta ADC: 8596
Raw ADC: 1078010995, Delta ADC: 1550
Raw ADC: 1078016350, Delta ADC: 5355
Raw ADC: 1078023959, Delta ADC: 7609
Raw ADC: 1078026355, Delta ADC: 2396
Raw ADC: 1078042419, Delta ADC: 16064
Raw ADC: 1078039178, Delta ADC: 4294964054
Raw ADC: 1078046506, Delta ADC: 7328
Raw ADC: 1078058906, Delta ADC: 12400
Raw ADC: 1078059892, Delta ADC: 986
Raw ADC: 1078067925, Delta ADC: 8033
Raw ADC: 1078074125, Delta ADC: 6200
Raw ADC: 1078079057, Delta ADC: 4932
Raw ADC: 1078093007, Delta ADC: 13950
Raw ADC: 1078097094, Delta ADC: 4087
Raw ADC: 1078106676, Delta ADC: 9582
Raw ADC: 1078111185, Delta ADC: 4509
Raw ADC: 1078133872, Delta ADC: 22687
Raw ADC: 1078135845, Delta ADC: 1973
Raw ADC: 1078138945, Delta ADC: 3100
Raw ADC: 1078154869, Delta ADC: 15924
Raw ADC: 1078157264, Delta ADC: 2395
Raw ADC: 1078166283, Delta ADC: 9019
Raw ADC: 1078166987, Delta ADC: 704
Raw ADC: 1078174878, Delta ADC: 7891
Raw ADC: 1078173610, Delta ADC: 4294966027
Raw ADC: 1078191788, Delta ADC: 18178
Raw ADC: 1078200666, Delta ADC: 8878
Raw ADC: 1078199820, Delta ADC: 4294966449
Raw ADC: 1078202639, Delta ADC: 2819
Raw ADC: 1078222226, Delta ADC: 19587
Raw ADC: 1078236740, Delta ADC: 14514
Raw ADC: 1078245617, Delta ADC: 8877
Raw ADC: 1078250690, Delta ADC: 5073
Raw ADC: 1078260132, Delta ADC: 9442
Raw ADC: 1078271546, Delta ADC: 11414
Raw ADC: 1078281269, Delta ADC: 9723
Raw ADC: 1078292683, Delta ADC: 11414
Raw ADC: 1078292824, Delta ADC: 141
Raw ADC: 1078311847, Delta ADC: 19023
Raw ADC: 1078306774, Delta ADC: 4294962222
Raw ADC: 1078325375, Delta ADC: 18601
Raw ADC: 1078325093, Delta ADC: 4294967013
Raw ADC: 1078331575, Delta ADC: 6482
Raw ADC: 1078341721, Delta ADC: 10146
Raw ADC: 1078347921, Delta ADC: 6200
Raw ADC: 1078360322, Delta ADC: 12401
Raw ADC: 1078360885, Delta ADC: 563
Raw ADC: 1078367086, Delta ADC: 6201
Raw ADC: 1078384841, Delta ADC: 17755
Raw ADC: 1078394423, Delta ADC: 9582
Raw ADC: 1078397241, Delta ADC: 2818
Raw ADC: 1078407669, Delta ADC: 10428
Raw ADC: 1078415137, Delta ADC: 7468
Raw ADC: 1078426833, Delta ADC: 11696
Raw ADC: 1078426974, Delta ADC: 141
Raw ADC: 1078438952, Delta ADC: 11978
Raw ADC: 1078457271, Delta ADC: 18319
Raw ADC: 1078470376, Delta ADC: 13105
Raw ADC: 1078480662, Delta ADC: 10286
Raw ADC: 1078487567, Delta ADC: 6905
Raw ADC: 1078496304, Delta ADC: 8737
Raw ADC: 1078508704, Delta ADC: 12400
Raw ADC: 1078517723, Delta ADC: 9019
Raw ADC: 1078537874, Delta ADC: 20151
Raw ADC: 1078536042, Delta ADC: 4294965463
Raw ADC: 1078550274, Delta ADC: 14232
Raw ADC: 1078561125, Delta ADC: 10851
Raw ADC: 1078576202, Delta ADC: 15077
Raw ADC: 1078581134, Delta ADC: 4932
Raw ADC: 1078600581, Delta ADC: 19447
Raw ADC: 1078606922, Delta ADC: 6341
Raw ADC: 1078617208, Delta ADC: 10286
Raw ADC: 1078625663, Delta ADC: 8455
Raw ADC: 1078641305, Delta ADC: 15642
Raw ADC: 1078645673, Delta ADC: 4368
Raw ADC: 1078662724, Delta ADC: 17051
Raw ADC: 1078676533, Delta ADC: 13809
Raw ADC: 1078686538, Delta ADC: 10005
Raw ADC: 1078703589, Delta ADC: 17051
Raw ADC: 1078723317, Delta ADC: 19728
Raw ADC: 1078735436, Delta ADC: 12119
Raw ADC: 1078756291, Delta ADC: 20855
Raw ADC: 1078771510, Delta ADC: 15219
Raw ADC: 1078788842, Delta ADC: 17332
Raw ADC: 1078807725, Delta ADC: 18883
Raw ADC: 1078815898, Delta ADC: 8173
Raw ADC: 1078832525, Delta ADC: 16627
Raw ADC: 1078845631, Delta ADC: 13106
Raw ADC: 1078868459, Delta ADC: 22828
Raw ADC: 1078870291, Delta ADC: 1832
Raw ADC: 1078888187, Delta ADC: 17896
Raw ADC: 1078895514, Delta ADC: 7327
Raw ADC: 1078908337, Delta ADC: 12823
Raw ADC: 1078915665, Delta ADC: 7328
Raw ADC: 1078912283, Delta ADC: 4294963913
Raw ADC: 1078919329, Delta ADC: 7046
Raw ADC: 1078926233, Delta ADC: 6904
Raw ADC: 1078933561, Delta ADC: 7328
Raw ADC: 1078949343, Delta ADC: 15782
Raw ADC: 1078955685, Delta ADC: 6342
Raw ADC: 1078963576, Delta ADC: 7891
Raw ADC: 1078975976, Delta ADC: 12400
Raw ADC: 1078983586, Delta ADC: 7610
Raw ADC: 1078995281, Delta ADC: 11695
Raw ADC: 1078992745, Delta ADC: 4294964759
Raw ADC: 1079003595, Delta ADC: 10850
Raw ADC: 1079010500, Delta ADC: 6905
Raw ADC: 1079018110, Delta ADC: 7610
Raw ADC: 1079036851, Delta ADC: 18741
Raw ADC: 1079043756, Delta ADC: 6905
Raw ADC: 1079051224, Delta ADC: 7468
Raw ADC: 1079050943, Delta ADC: 4294967014
Raw ADC: 1079067148, Delta ADC: 16205
Raw ADC: 1079065175, Delta ADC: 4294965322
Raw ADC: 1079062216, Delta ADC: 4294964336
Raw ADC: 1079068698, Delta ADC: 6482
Raw ADC: 1079066584, Delta ADC: 4294965181
Raw ADC: 1079065457, Delta ADC: 4294966168
Raw ADC: 1079064330, Delta ADC: 4294966168
Raw ADC: 1079068557, Delta ADC: 4227
Raw ADC: 1079068839, Delta ADC: 282
Raw ADC: 1079073207, Delta ADC: 4368
Raw ADC: 1079063202, Delta ADC: 4294957290
Raw ADC: 1079074616, Delta ADC: 11414
Raw ADC: 1079082507, Delta ADC: 7891
Raw ADC: 1079081380, Delta ADC: 4294966168
Raw ADC: 1079093358, Delta ADC: 11978
Raw ADC: 1079105617, Delta ADC: 12259
Raw ADC: 1079114918, Delta ADC: 9301
Raw ADC: 1079119991, Delta ADC: 5073
Raw ADC: 1079137182, Delta ADC: 17191
Raw ADC: 1079170579, Delta ADC: 33397
Raw ADC: 1079176497, Delta ADC: 5918
Raw ADC: 1079180302, Delta ADC: 3805
Raw ADC: 1079185939, Delta ADC: 5637
Raw ADC: 1079198621, Delta ADC: 12682
Raw ADC: 1079203412, Delta ADC: 4791
Raw ADC: 1079212430, Delta ADC: 9018
Raw ADC: 1079203694, Delta ADC: 4294958559
Raw ADC: 1079212290, Delta ADC: 8596
Raw ADC: 1079227086, Delta ADC: 14796
Raw ADC: 1079240191, Delta ADC: 13105
Raw ADC: 1079247518, Delta ADC: 7327
Raw ADC: 1079251746, Delta ADC: 4228
Raw ADC: 1079260482, Delta ADC: 8736
Raw ADC: 1079270205, Delta ADC: 9723
Raw ADC: 1079274292, Delta ADC: 4087
Raw ADC: 1079285424, Delta ADC: 11132
Raw ADC: 1079294443, Delta ADC: 9019
Raw ADC: 1079304588, Delta ADC: 10145
Raw ADC: 1079306843, Delta ADC: 2255
Raw ADC: 1079317834, Delta ADC: 10991
Raw ADC: 1079323471, Delta ADC: 5637
Raw ADC: 1079331926, Delta ADC: 8455
Raw ADC: 1079327698, Delta ADC: 4294963067
Raw ADC: 1079333335, Delta ADC: 5637
Raw ADC: 1079340381, Delta ADC: 7046
Raw ADC: 1079349963, Delta ADC: 9582
Raw ADC: 1079348413, Delta ADC: 4294965745
Raw ADC: 1079356868, Delta ADC: 8455
Raw ADC: 1079367295, Delta ADC: 10427
Raw ADC: 1079365041, Delta ADC: 4294965041
Raw ADC: 1079370536, Delta ADC: 5495
Raw ADC: 1079378427, Delta ADC: 7891
Raw ADC: 1079392519, Delta ADC: 14092
Raw ADC: 1079386037, Delta ADC: 4294960813
Raw ADC: 1079396887, Delta ADC: 10850
Raw ADC: 1079401819, Delta ADC: 4932
Raw ADC: 1079412811, Delta ADC: 10992
Raw ADC: 1079409288, Delta ADC: 4294963772
Raw ADC: 1079420561, Delta ADC: 11273
Raw ADC: 1079432116, Delta ADC: 11555
Raw ADC: 1079445925, Delta ADC: 13809
Raw ADC: 1079451280, Delta ADC: 5355
Raw ADC: 1079467344, Delta ADC: 16064
Raw ADC: 1079492004, Delta ADC: 24660
Raw ADC: 1079504828, Delta ADC: 12824
Raw ADC: 1079505673, Delta ADC: 845
Raw ADC: 1079512437, Delta ADC: 6764
Raw ADC: 1079523006, Delta ADC: 10569
Raw ADC: 1079526387, Delta ADC: 3381
Raw ADC: 1079524415, Delta ADC: 4294965323
Raw ADC: 1079537661, Delta ADC: 13246
Raw ADC: 1079542170, Delta ADC: 4509
Raw ADC: 1079552879, Delta ADC: 10709
Raw ADC: 1079554993, Delta ADC: 2114
Raw ADC: 1079563730, Delta ADC: 8737
Raw ADC: 1079577680, Delta ADC: 13950
Raw ADC: 1079581203, Delta ADC: 3523
Raw ADC: 1079584726, Delta ADC: 3523
Raw ADC: 1079604031, Delta ADC: 19305
Raw ADC: 1079602199, Delta ADC: 4294965463
Raw ADC: 1079624887, Delta ADC: 22688
Raw ADC: 1079626437, Delta ADC: 1550
Raw ADC: 1079635596, Delta ADC: 9159
Raw ADC: 1079645742, Delta ADC: 10146
Raw ADC: 1079657861, Delta ADC: 12119
Raw ADC: 1079676743, Delta ADC: 18882
Raw ADC: 1079677166, Delta ADC: 423
Raw ADC: 1079703658, Delta ADC: 26492
Raw ADC: 1079704644, Delta ADC: 986
Raw ADC: 1079711690, Delta ADC: 7046
Raw ADC: 1079725499, Delta ADC: 13809
Raw ADC: 1079730290, Delta ADC: 4791
Raw ADC: 1079739027, Delta ADC: 8737
Raw ADC: 1079745086, Delta ADC: 6059
Raw ADC: 1079760587, Delta ADC: 15501
Raw ADC: 1079779470, Delta ADC: 18883
Raw ADC: 1079791306, Delta ADC: 11836
Raw ADC: 1079804693, Delta ADC: 13387
Raw ADC: 1079812584, Delta ADC: 7891
Raw ADC: 1079831608, Delta ADC: 19024
Raw ADC: 1079842176, Delta ADC: 10568
Raw ADC: 1079846827, Delta ADC: 4651
Raw ADC: 1079855986, Delta ADC: 9159
Raw ADC: 1079873459, Delta ADC: 17473
Raw ADC: 1079875573, Delta ADC: 2114
Raw ADC: 1079884451, Delta ADC: 8878
Raw ADC: 1079884169, Delta ADC: 4294967013
Raw ADC: 1079883182, Delta ADC: 4294966308
Raw ADC: 1079888819, Delta ADC: 5637
Raw ADC: 1079888678, Delta ADC: 4294967154
Raw ADC: 1079892624, Delta ADC: 3946
Raw ADC: 1079891215, Delta ADC: 4294965886
Raw ADC: 1079901220, Delta ADC: 10005
Raw ADC: 1079912211, Delta ADC: 10991
Raw ADC: 1079919820, Delta ADC: 7609
Raw ADC: 1079925034, Delta ADC: 5214
Raw ADC: 1079925739, Delta ADC: 705
Raw ADC: 1079928698, Delta ADC: 2959
Raw ADC: 1079920102, Delta ADC: 4294958699
Raw ADC: 1079931234, Delta ADC: 11132
Raw ADC: 1079929825, Delta ADC: 4294965886
Raw ADC: 1079933207, Delta ADC: 3382
Raw ADC: 1079930952, Delta ADC: 4294965040
Raw ADC: 1079932643, Delta ADC: 1691
Raw ADC: 1079941521, Delta ADC: 8878
Raw ADC: 1079935462, Delta ADC: 4294961236
Raw ADC: 1079934475, Delta ADC: 4294966308
Raw ADC: 1079939548, Delta ADC: 5073
Raw ADC: 1079944057, Delta ADC: 4509
Raw ADC: 1079951667, Delta ADC: 7610
Raw ADC: 1079968436, Delta ADC: 16769
Raw ADC: 1079971536, Delta ADC: 3100
Raw ADC: 1079984782, Delta ADC: 13246
Raw ADC: 1079999014, Delta ADC: 14232
Raw ADC: 1080006764, Delta ADC: 7750
Raw ADC: 1080020433, Delta ADC: 13669
Raw ADC: 1080025224, Delta ADC: 4791
Raw ADC: 1080027620, Delta ADC: 2396
Raw ADC: 1080031002, Delta ADC: 3382
Raw ADC: 1080048475, Delta ADC: 17473
Raw ADC: 1080044811, Delta ADC: 4294963631
Raw ADC: 1080049743, Delta ADC: 4932
Raw ADC: 1080051998, Delta ADC: 2255
Raw ADC: 1080059748, Delta ADC: 7750
Raw ADC: 1080057353, Delta ADC: 4294964900
Raw ADC: 1080058198, Delta ADC: 845
Raw ADC: 1080062566, Delta ADC: 4368
Raw ADC: 1080062707, Delta ADC: 141
Raw ADC: 1080067639, Delta ADC: 4932
Raw ADC: 1080065526, Delta ADC: 4294965182
Raw ADC: 1080062566, Delta ADC: 4294964335
Raw ADC: 1080067498, Delta ADC: 4932
Raw ADC: 1080076094, Delta ADC: 8596
Raw ADC: 1080073417, Delta ADC: 4294964618
Raw ADC: 1080079617, Delta ADC: 6200
Raw ADC: 1080076799, Delta ADC: 4294964477
Raw ADC: 1080082999, Delta ADC: 6200
Raw ADC: 1080085958, Delta ADC: 2959
Raw ADC: 1080085535, Delta ADC: 4294966872
Raw ADC: 1080090327, Delta ADC: 4792
Raw ADC: 1080088636, Delta ADC: 4294965604
Raw ADC: 1080077926, Delta ADC: 4294956585
Raw ADC: 1080088072, Delta ADC: 10146
Raw ADC: 1080084267, Delta ADC: 4294963490
Raw ADC: 1080074967, Delta ADC: 4294957995
Raw ADC: 1080079476, Delta ADC: 4509
Raw ADC: 1080080603, Delta ADC: 1127
Raw ADC: 1080086240, Delta ADC: 5637
Raw ADC: 1080088636, Delta ADC: 2396
Raw ADC: 1080083985, Delta ADC: 4294962644
Raw ADC: 1080088072, Delta ADC: 4087
Raw ADC: 1080085113, Delta ADC: 4294964336
Raw ADC: 1080101318, Delta ADC: 16205
Raw ADC: 1080087226, Delta ADC: 4294953203
Raw ADC: 1080094836, Delta ADC: 7610
Raw ADC: 1080099204, Delta ADC: 4368
Raw ADC: 1080103150, Delta ADC: 3946
Raw ADC: 1080099063, Delta ADC: 4294963208
Raw ADC: 1080112027, Delta ADC: 12964
Raw ADC: 1080116255, Delta ADC: 4228
Raw ADC: 1080130910, Delta ADC: 14655
Raw ADC: 1080148806, Delta ADC: 17896
Raw ADC: 1080149933, Delta ADC: 1127
Raw ADC: 1080157402, Delta ADC: 7469
Raw ADC: 1080164870, Delta ADC: 7468
Raw ADC: 1080167970, Delta ADC: 3100
Raw ADC: 1080179807, Delta ADC: 11837
Raw ADC: 1080185725, Delta ADC: 5918
Raw ADC: 1080192771, Delta ADC: 7046
