Raw ADC: 1073741823, Delta ADC: 0
Raw ADC: 1320267415, Delta ADC: 1409890
Raw ADC: 1321670939, Delta ADC: 1403524
Raw ADC: 1323068156, Delta ADC: 1397217
Raw ADC: 1324459120, Delta ADC: 1390964
Raw ADC: 1325843889, Delta ADC: 1384769
Raw ADC: 1327222517, Delta ADC: 1378628
Raw ADC: 1328595058, Delta ADC: 1372541
Raw ADC: 1329961567, Delta ADC: 1366509
Raw ADC: 1331322094, Delta ADC: 1360527
Raw ADC: 1332676694, Delta ADC: 1354600
Raw ADC: 1334025417, Delta ADC: 1348723
Raw ADC: 1335368313, Delta ADC: 1342896
Raw ADC: 1336705434, Delta ADC: 1337121
Raw ADC: 1338036828, Delta ADC: 1331394
Raw ADC: 1339362545, Delta ADC: 1325717
Raw ADC: 1340682632, Delta ADC: 1320087
Raw ADC: 1341997138, Delta ADC: 1314506
Raw ADC: 1343306109, Delta ADC: 1308971
Raw ADC: 1344609591, Delta ADC: 1303482
Raw ADC: 1345907631, Delta ADC: 1298040
Raw ADC: 1347200274, Delta ADC: 1292643
Raw ADC: 1348487564, Delta ADC: 1287290
Raw ADC: 1349769545, Delta ADC: 1281981
Raw ADC: 1351046262, Delta ADC: 1276717
Raw ADC: 1352317757, Delta ADC: 1271495
Raw ADC: 1353584073, Delta ADC: 1266316
Raw ADC: 1354845251, Delta ADC: 1261178
Raw ADC: 1356101334, Delta ADC: 1256083
Raw ADC: 1357352363, Delta ADC: 1251029
Raw ADC: 1358598377, Delta ADC: 1246014
Raw ADC: 1359839417, Delta ADC: 1241040
Raw ADC: 1361075522, Delta ADC: 1236105
Raw ADC: 1362306732, Delta ADC: 1231210
Raw ADC: 1363533085, Delta ADC: 1226353
Raw ADC: 1364754619, Delta ADC: 1221534
Raw ADC: 1365971373, Delta ADC: 1216754
Raw ADC: 1367183383, Delta ADC: 1212010
Raw ADC: 1368390685, Delta ADC: 1207302
Raw ADC: 1369593318, Delta ADC: 1202633
Raw ADC: 1370791316, Delta ADC: 1197998
Raw ADC: 1371984715, Delta ADC: 1193399
Raw ADC: 1373173551, Delta ADC: 1188836
Raw ADC: 1374357857, Delta ADC: 1184306
Raw ADC: 1375537669, Delta ADC: 1179812
Raw ADC: 1376713021, Delta ADC: 1175352
Raw ADC: 1377883945, Delta ADC: 1170924
Raw ADC: 1379050476, Delta ADC: 1166531
Raw ADC: 1380212646, Delta ADC: 1162170
Raw ADC: 1381370488, Delta ADC: 1157842
Raw ADC: 1382524033, Delta ADC: 1153545
Raw ADC: 1383673314, Delta ADC: 1149281
Raw ADC: 1384818361, Delta ADC: 1145047
Raw ADC: 1385959207, Delta ADC: 1140846
Raw ADC: 1387095881, Delta ADC: 1136674
Raw ADC: 1388228415, Delta ADC: 1132534
Raw ADC: 1389356838, Delta ADC: 1128423
Raw ADC: 1390481179, Delta ADC: 1124341
Raw ADC: 1391601469, Delta ADC: 1120290
Raw ADC: 1392717736, Delta ADC: 1116267
Raw ADC: 1393830010, Delta ADC: 1112274
Raw ADC: 1394938318, Delta ADC: 1108308
Raw ADC: 1396042689, Delta ADC: 1104371
Raw ADC: 1397143150, Delta ADC: 1100461
Raw ADC: 1398239730, Delta ADC: 1096580
Raw ADC: 1399332456, Delta ADC: 1092726
Raw ADC: 1400421354, Delta ADC: 1088898
Raw ADC: 1401506451, Delta ADC: 1085097
Raw ADC: 1402587775, Delta ADC: 1081324
Raw ADC: 1403665350, Delta ADC: 1077575
Raw ADC: 1404739203, Delta ADC: 1073853
Raw ADC: 1405809359, Delta ADC: 1070156
Raw ADC: 1406875844, Delta ADC: 1066485
Raw ADC: 1407938683, Delta ADC: 1062839
Raw ADC: 1408997901, Delta ADC: 1059218
Raw ADC: 1410053522, Delta ADC: 1055621
Raw ADC: 1411105570, Delta ADC: 1052048
Raw ADC: 1412154071, Delta ADC: 1048501
Raw ADC: 1413199047, Delta ADC: 1044976
Raw ADC: 1414240522, Delta ADC: 1041475
Raw ADC: 1415278520, Delta ADC: 1037998
Raw ADC: 1416313064, Delta ADC: 1034544
Raw ADC: 1417344176, Delta ADC: 1031112
Raw ADC: 1418371880, Delta ADC: 1027704
Raw ADC: 1419396198, Delta ADC: 1024318
Raw ADC: 1420417151, Delta ADC: 1020953
Raw ADC: 1421434763, Delta ADC: 1017612
Raw ADC: 1422449055, Delta ADC: 1014292
Raw ADC: 1423460048, Delta ADC: 1010993
Raw ADC: 1424467764, Delta ADC: 1007716
Raw ADC: 1425472224, Delta ADC: 1004460
Raw ADC: 1426473449, Delta ADC: 1001225
Raw ADC: 1427471460, Delta ADC: 998011
Raw ADC: 1428466277, Delta ADC: 994817
Raw ADC: 1429457921, Delta ADC: 991644
Raw ADC: 1430446411, Delta ADC: 988490
Raw ADC: 1431431769, Delta ADC: 985358
Raw ADC: 1432414014, Delta ADC: 982245
Raw ADC: 1433393164, Delta ADC: 979150
Raw ADC: 1434369241, Delta ADC: 976077
Raw ADC: 1435342262, Delta ADC: 973021
Raw ADC: 1436312248, Delta ADC: 969986
Raw ADC: 1437279216, Delta ADC: 966968
Raw ADC: 1438243186, Delta ADC: 963970
Raw ADC: 1439204176, Delta ADC: 960990
Raw ADC: 1440162205, Delta ADC: 958029
Raw ADC: 1441117291, Delta ADC: 955086
Raw ADC: 1442069451, Delta ADC: 952160
Raw ADC: 1443018704, Delta ADC: 949253
Raw ADC: 1443965067, Delta ADC: 946363
Raw ADC: 1444908559, Delta ADC: 943492
Raw ADC: 1445849195, Delta ADC: 940636
Raw ADC: 1446786994, Delta ADC: 937799
Raw ADC: 1447721972, Delta ADC: 934978
Raw ADC: 1448654147, Delta ADC: 932175
Raw ADC: 1449583535, Delta ADC: 929388
Raw ADC: 1450510153, Delta ADC: 926618
Raw ADC: 1451434018, Delta ADC: 923865
Raw ADC: 1452355144, Delta ADC: 921126
Raw ADC: 1453273550, Delta ADC: 918406
Raw ADC: 1454189251, Delta ADC: 915701
Raw ADC: 1455102262, Delta ADC: 913011
Raw ADC: 1456012600, Delta ADC: 910338
Raw ADC: 1456920279, Delta ADC: 907679
Raw ADC: 1457825317, Delta ADC: 905038
Raw ADC: 1458727727, Delta ADC: 902410
Raw ADC: 1459627525, Delta ADC: 899798
Raw ADC: 1460524727, Delta ADC: 897202
Raw ADC: 1461419346, Delta ADC: 894619
Raw ADC: 1462311399, Delta ADC: 892053
Raw ADC: 1463200899, Delta ADC: 889500
Raw ADC: 1464087861, Delta ADC: 886962
Raw ADC: 1464972300, Delta ADC: 884439
Raw ADC: 1465854230, Delta ADC: 881930
Raw ADC: 1466733665, Delta ADC: 879435
Raw ADC: 1467610620, Delta ADC: 876955
Raw ADC: 1468485107, Delta ADC: 874487
Raw ADC: 1469357142, Delta ADC: 872035
Raw ADC: 1470226737, Delta ADC: 869595
Raw ADC: 1471093907, Delta ADC: 867170
Raw ADC: 1471958664, Delta ADC: 864757
Raw ADC: 1472821023, Delta ADC: 862359
Raw ADC: 1473680996, Delta ADC: 859973
Raw ADC: 1474538597, Delta ADC: 857601
Raw ADC: 1475393838, Delta ADC: 855241
Raw ADC: 1476246733, Delta ADC: 852895
Raw ADC: 1477097295, Delta ADC: 850562
Raw ADC: 1477945536, Delta ADC: 848241
Raw ADC: 1478791469, Delta ADC: 845933
Raw ADC: 1479635106, Delta ADC: 843637
Raw ADC: 1480476460, Delta ADC: 841354
Raw ADC: 1481315543, Delta ADC: 839083
Raw ADC: 1482152367, Delta ADC: 836824
Raw ADC: 1482986945, Delta ADC: 834578
Raw ADC: 1483819289, Delta ADC: 832344
Raw ADC: 1484649410, Delta ADC: 830121
Raw ADC: 1485477320, Delta ADC: 827910
Raw ADC: 1486303031, Delta ADC: 825711
Raw ADC: 1487126555, Delta ADC: 823524
Raw ADC: 1487947903, Delta ADC: 821348
Raw ADC: 1488767087, Delta ADC: 819184
Raw ADC: 1489584118, Delta ADC: 817031
Raw ADC: 1490399007, Delta ADC: 814889
Raw ADC: 1491211766, Delta ADC: 812759
Raw ADC: 1492022406, Delta ADC: 810640
Raw ADC: 1492830937, Delta ADC: 808531
Raw ADC: 1493637371, Delta ADC: 806434
Raw ADC: 1494441719, Delta ADC: 804348
Raw ADC: 1495243990, Delta ADC: 802271
Raw ADC: 1496044197, Delta ADC: 800207
Raw ADC: 1496842349, Delta ADC: 798152
Raw ADC: 1497638457, Delta ADC: 796108
Raw ADC: 1498432532, Delta ADC: 794075
Raw ADC: 1499224584, Delta ADC: 792052
Raw ADC: 1500014622, Delta ADC: 790038
Raw ADC: 1500802659, Delta ADC: 788037
Raw ADC: 1501588702, Delta ADC: 786043
Raw ADC: 1502372763, Delta ADC: 784061
Raw ADC: 1503154852, Delta ADC: 782089
Raw ADC: 1503934978, Delta ADC: 780126
Raw ADC: 1504713152, Delta ADC: 778174
Raw ADC: 1505489382, Delta ADC: 776230
Raw ADC: 1506263679, Delta ADC: 774297
Raw ADC: 1507036052, Delta ADC: 772373
Raw ADC: 1507806511, Delta ADC: 770459
Raw ADC: 1508575066, Delta ADC: 768555
Raw ADC: 1509341725, Delta ADC: 766659
Raw ADC: 1510106498, Delta ADC: 764773
Raw ADC: 1510869394, Delta ADC: 762896
Raw ADC: 1511630423, Delta ADC: 761029
Raw ADC: 1512389593, Delta ADC: 759170
Raw ADC: 1513146914, Delta ADC: 757321
Raw ADC: 1513902395, Delta ADC: 755481
Raw ADC: 1514656044, Delta ADC: 753649
Raw ADC: 1515407871, Delta ADC: 751827
Raw ADC: 1516157883, Delta ADC: 750012
Raw ADC: 1516906091, Delta ADC: 748208
Raw ADC: 1517652502, Delta ADC: 746411
Raw ADC: 1518397125, Delta ADC: 744623
Raw ADC: 1519139969, Delta ADC: 742844
Raw ADC: 1519881043, Delta ADC: 741074
Raw ADC: 1520620354, Delta ADC: 739311
Raw ADC: 1521357911, Delta ADC: 737557
Raw ADC: 1522093722, Delta ADC: 735811
Raw ADC: 1522827796, Delta ADC: 734074
Raw ADC: 1523560140, Delta ADC: 732344
Raw ADC: 1524290763, Delta ADC: 730623
Raw ADC: 1525019674, Delta ADC: 728911
Raw ADC: 1525746879, Delta ADC: 727205
Raw ADC: 1526472387, Delta ADC: 725508
Raw ADC: 1527196206, Delta ADC: 723819
Raw ADC: 1527918344, Delta ADC: 722138
Raw ADC: 1528638808, Delta ADC: 720464
Raw ADC: 1529357606, Delta ADC: 718798
Raw ADC: 1530074746, Delta ADC: 717140
Raw ADC: 1530790236, Delta ADC: 715490
Raw ADC: 1531504082, Delta ADC: 713846
Raw ADC: 1532216294, Delta ADC: 712212
Raw ADC: 1532926877, Delta ADC: 710583
Raw ADC: 1533635840, Delta ADC: 708963
Raw ADC: 1534343190, Delta ADC: 707350
Raw ADC: 1535048934, Delta ADC: 705744
Raw ADC: 1535753079, Delta ADC: 704145
Raw ADC: 1536455633, Delta ADC: 702554
Raw ADC: 1537156604, Delta ADC: 700971
Raw ADC: 1537855997, Delta ADC: 699393
Raw ADC: 1538553820, Delta ADC: 697823
Raw ADC: 1539250080, Delta ADC: 696260
Raw ADC: 1539944785, Delta ADC: 694705
Raw ADC: 1540637940, Delta ADC: 693155
Raw ADC: 1541329553, Delta ADC: 691613
Raw ADC: 1542019632, Delta ADC: 690079
Raw ADC: 1542708181, Delta ADC: 688549
Raw ADC: 1543395210, Delta ADC: 687029
Raw ADC: 1544080723, Delta ADC: 685513
Raw ADC: 1544764728, Delta ADC: 684005
Raw ADC: 1545447231, Delta ADC: 682503
Raw ADC: 1546128239, Delta ADC: 681008
Raw ADC: 1546807759, Delta ADC: 679520
Raw ADC: 1547485796, Delta ADC: 678037
Raw ADC: 1548162358, Delta ADC: 676562
Raw ADC: 1548837451, Delta ADC: 675093
Raw ADC: 1549511081, Delta ADC: 673630
Raw ADC: 1550183254, Delta ADC: 672173
Raw ADC: 1550853978, Delta ADC: 670724
Raw ADC: 1551523257, Delta ADC: 669279
Raw ADC: 1552191098, Delta ADC: 667841
Raw ADC: 1552857508, Delta ADC: 666410
Raw ADC: 1553522493, Delta ADC: 664985
Raw ADC: 1554186058, Delta ADC: 663565
Raw ADC: 1554848209, Delta ADC: 662151
Raw ADC: 1555508954, Delta ADC: 660745
Raw ADC: 1556168297, Delta ADC: 659343
Raw ADC: 1556826244, Delta ADC: 657947
Raw ADC: 1557482802, Delta ADC: 656558
Raw ADC: 1558137977, Delta ADC: 655175
Raw ADC: 1558791773, Delta ADC: 653796
Raw ADC: 1559444197, Delta ADC: 652424
Raw ADC: 1560095255, Delta ADC: 651058
Raw ADC: 1560744953, Delta ADC: 649698
Raw ADC: 1561393295, Delta ADC: 648342
Raw ADC: 1562040288, Delta ADC: 646993
Raw ADC: 1562685938, Delta ADC: 645650
Raw ADC: 1563330249, Delta ADC: 644311
Raw ADC: 1563973228, Delta ADC: 642979
Raw ADC: 1564614880, Delta ADC: 641652
Raw ADC: 1565255210, Delta ADC: 640330
Raw ADC: 1565894223, Delta ADC: 639013
Raw ADC: 1566531926, Delta ADC: 637703
Raw ADC: 1567168324, Delta ADC: 636398
Raw ADC: 1567803421, Delta ADC: 635097
Raw ADC: 1568437224, Delta ADC: 633803
Raw ADC: 1569069737, Delta ADC: 632513
Raw ADC: 1569700966, Delta ADC: 631229
Raw ADC: 1570330916, Delta ADC: 629950
Raw ADC: 1570959592, Delta ADC: 628676
Raw ADC: 1571586999, Delta ADC: 627407
Raw ADC: 1572213142, Delta ADC: 626143
Raw ADC: 1572838027, Delta ADC: 624885
Raw ADC: 1573461658, Delta ADC: 623631
Raw ADC: 1574084041, Delta ADC: 622383
Raw ADC: 1574705180, Delta ADC: 621139
Raw ADC: 1575325081, Delta ADC: 619901
Raw ADC: 1575943748, Delta ADC: 618667
Raw ADC: 1576561186, Delta ADC: 617438
Raw ADC: 1577177401, Delta ADC: 616215
Raw ADC: 1577792396, Delta ADC: 614995
Raw ADC: 1578406178, Delta ADC: 613782
Raw ADC: 1579018749, Delta ADC: 612571
Raw ADC: 1579630117, Delta ADC: 611368
Raw ADC: 1580240284, Delta ADC: 610167
Raw ADC: 1580849256, Delta ADC: 608972
Raw ADC: 1581457037, Delta ADC: 607781
Raw ADC: 1582063633, Delta ADC: 606596
Raw ADC: 1582669047, Delta ADC: 605414
Raw ADC: 1583273284, Delta ADC: 604237
Raw ADC: 1583876350, Delta ADC: 603066
Raw ADC: 1584478248, Delta ADC: 601898
Raw ADC: 1585078982, Delta ADC: 600734
Raw ADC: 1585678558, Delta ADC: 599576
Raw ADC: 1586276980, Delta ADC: 598422
Raw ADC: 1586874252, Delta ADC: 597272
Raw ADC: 1587470379, Delta ADC: 596127
Raw ADC: 1588065365, Delta ADC: 594986
Raw ADC: 1588659215, Delta ADC: 593850
Raw ADC: 1589251932, Delta ADC: 592717
Raw ADC: 1589843521, Delta ADC: 591589
Raw ADC: 1590433987, Delta ADC: 590466
Raw ADC: 1591023333, Delta ADC: 589346
Raw ADC: 1591611565, Delta ADC: 588232
Raw ADC: 1592198685, Delta ADC: 587120
Raw ADC: 1592784699, Delta ADC: 586014
Raw ADC: 1593369610, Delta ADC: 584911
Raw ADC: 1593953422, Delta ADC: 583812
Raw ADC: 1594536140, Delta ADC: 582718
Raw ADC: 1595117768, Delta ADC: 581628
Raw ADC: 1595698310, Delta ADC: 580542
Raw ADC: 1596277770, Delta ADC: 579460
Raw ADC: 1596856152, Delta ADC: 578382
Raw ADC: 1597433460, Delta ADC: 577308
Raw ADC: 1598009697, Delta ADC: 576237
Raw ADC: 1598584869, Delta ADC: 575172
Raw ADC: 1599158978, Delta ADC: 574109
Raw ADC: 1599732029, Delta ADC: 573051
Raw ADC: 1600304026, Delta ADC: 571997
Raw ADC: 1600874972, Delta ADC: 570946
Raw ADC: 1601444871, Delta ADC: 569899
Raw ADC: 1602013728, Delta ADC: 568857
Raw ADC: 1602581546, Delta ADC: 567818
Raw ADC: 1603148328, Delta ADC: 566782
Raw ADC: 1603714079, Delta ADC: 565751
Raw ADC: 1604278802, Delta ADC: 564723
Raw ADC: 1604842502, Delta ADC: 563700
Raw ADC: 1605405181, Delta ADC: 562679
Raw ADC: 1605966843, Delta ADC: 561662
Raw ADC: 1606527493, Delta ADC: 560650
Raw ADC: 1607087133, Delta ADC: 559640
Raw ADC: 1607645768, Delta ADC: 558635
Raw ADC: 1608203401, Delta ADC: 557633
Raw ADC: 1608760035, Delta ADC: 556634
Raw ADC: 1609315674, Delta ADC: 555639
Raw ADC: 1609870322, Delta ADC: 554648
Raw ADC: 1610423982, Delta ADC: 553660
Raw ADC: 1610976658, Delta ADC: 552676
Raw ADC: 1611528353, Delta ADC: 551695
Raw ADC: 1612079071, Delta ADC: 550718
Raw ADC: 1612628815, Delta ADC: 549744
Raw ADC: 1613177588, Delta ADC: 548773
Raw ADC: 1613725395, Delta ADC: 547807
Raw ADC: 1614272238, Delta ADC: 546843
Raw ADC: 1614818120, Delta ADC: 545882
Raw ADC: 1615363046, Delta ADC: 544926
Raw ADC: 1615907018, Delta ADC: 543972
Raw ADC: 1616450041, Delta ADC: 543023
Raw ADC: 1616992116, Delta ADC: 542075
Raw ADC: 1617533248, Delta ADC: 541132
Raw ADC: 1618073439, Delta ADC: 540191
Raw ADC: 1618612693, Delta ADC: 539254
Raw ADC: 1619151014, Delta ADC: 538321
Raw ADC: 1619688404, Delta ADC: 537390
Raw ADC: 1620224867, Delta ADC: 536463
Raw ADC: 1620760406, Delta ADC: 535539
Raw ADC: 1621295023, Delta ADC: 534617
Raw ADC: 1621828723, Delta ADC: 533700
Raw ADC: 1622361508, Delta ADC: 532785
Raw ADC: 1622893382, Delta ADC: 531874
Raw ADC: 1623424347, Delta ADC: 530965
Raw ADC: 1623954407, Delta ADC: 530060
Raw ADC: 1624483565, Delta ADC: 529158
Raw ADC: 1625011824, Delta ADC: 528259
Raw ADC: 1625539186, Delta ADC: 527362
Raw ADC: 1626065655, Delta ADC: 526469
Raw ADC: 1626591235, Delta ADC: 525580
Raw ADC: 1627115927, Delta ADC: 524692
Raw ADC: 1627639735, Delta ADC: 523808
Raw ADC: 1628162662, Delta ADC: 522927
Raw ADC: 1628684711, Delta ADC: 522049
Raw ADC: 1629205885, Delta ADC: 521174
Raw ADC: 1629726187, Delta ADC: 520302
Raw ADC: 1630245619, Delta ADC: 519432
Raw ADC: 1630764185, Delta ADC: 518566
Raw ADC: 1631281887, Delta ADC: 517702
Raw ADC: 1631798728, Delta ADC: 516841
Raw ADC: 1632314712, Delta ADC: 515984
Raw ADC: 1632829841, Delta ADC: 515129
Raw ADC: 1633344117, Delta ADC: 514276
Raw ADC: 1633857545, Delta ADC: 513428
Raw ADC: 1634370125, Delta ADC: 512580
Raw ADC: 1634881862, Delta ADC: 511737
Raw ADC: 1635392758, Delta ADC: 510896
Raw ADC: 1635902816, Delta ADC: 510058
Raw ADC: 1636412038, Delta ADC: 509222
Raw ADC: 1636920427, Delta ADC: 508389
Raw ADC: 1637427987, Delta ADC: 507560
Raw ADC: 1637934719, Delta ADC: 506732
Raw ADC: 1638440627, Delta ADC: 505908
Raw ADC: 1638945712, Delta ADC: 505085
Raw ADC: 1639449978, Delta ADC: 504266
Raw ADC: 1639953428, Delta ADC: 503450
Raw ADC: 1640456064, Delta ADC: 502636
Raw ADC: 1640957888, Delta ADC: 501824
Raw ADC: 1641458904, Delta ADC: 501016
Raw ADC: 1641959113, Delta ADC: 500209
Raw ADC: 1642458519, Delta ADC: 499406
Raw ADC: 1642957124, Delta ADC: 498605
Raw ADC: 1643454930, Delta ADC: 497806
Raw ADC: 1643951941, Delta ADC: 497011
Raw ADC: 1644448158, Delta ADC: 496217
Raw ADC: 1644943585, Delta ADC: 495427
Raw ADC: 1645438223, Delta ADC: 494638
Raw ADC: 1645932076, Delta ADC: 493853
Raw ADC: 1646425145, Delta ADC: 493069
Raw ADC: 1646917433, Delta ADC: 492288
Raw ADC: 1647408944, Delta ADC: 491511
Raw ADC: 1647899678, Delta ADC: 490734
Raw ADC: 1648389639, Delta ADC: 489961
Raw ADC: 1648878829, Delta ADC: 489190
Raw ADC: 1649367250, Delta ADC: 488421
Raw ADC: 1649854905, Delta ADC: 487655
Raw ADC: 1650341797, Delta ADC: 486892
Raw ADC: 1650827927, Delta ADC: 486130
Raw ADC: 1651313298, Delta ADC: 485371
Raw ADC: 1651797912, Delta ADC: 484614
Raw ADC: 1652281772, Delta ADC: 483860
Raw ADC: 1652764880, Delta ADC: 483108
Raw ADC: 1653247239, Delta ADC: 482359
Raw ADC: 1653728851, Delta ADC: 481612
Raw ADC: 1654209717, Delta ADC: 480866
Raw ADC: 1654689841, Delta ADC: 480124
Raw ADC: 1655169224, Delta ADC: 479383
Raw ADC: 1655647870, Delta ADC: 478646
Raw ADC: 1656125779, Delta ADC: 477909
Raw ADC: 1656602955, Delta ADC: 477176
Raw ADC: 1657079400, Delta ADC: 476445
Raw ADC: 1657555115, Delta ADC: 475715
Raw ADC: 1658030104, Delta ADC: 474989
Raw ADC: 1658504368, Delta ADC: 474264
Raw ADC: 1658977910, Delta ADC: 473542
Raw ADC: 1659450732, Delta ADC: 472822
Raw ADC: 1659922835, Delta ADC: 472103
Raw ADC: 1660394223, Delta ADC: 471388
Raw ADC: 1660864897, Delta ADC: 470674
Raw ADC: 1661334859, Delta ADC: 469962
Raw ADC: 1661804112, Delta ADC: 469253
Raw ADC: 1662272658, Delta ADC: 468546
Raw ADC: 1662740499, Delta ADC: 467841
Raw ADC: 1663207637, Delta ADC: 467138
Raw ADC: 1663674073, Delta ADC: 466436
Raw ADC: 1664139812, Delta ADC: 465739
Raw ADC: 1664604853, Delta ADC: 465041
Raw ADC: 1665069200, Delta ADC: 464347
Raw ADC: 1665532854, Delta ADC: 463654
Raw ADC: 1665995818, Delta ADC: 462964
